#,Part,Description,Quantity,Unit Price (USD),Total (USD),AliExpress Link,Notes
1,ESP32-C3-DevKitM-1,Main microcontroller with WiFi and Bluetooth,1,$4.50,$4.50,https://www.aliexpress.com/w/wholesale-esp32-c3-devkitm-1.html,Search: ESP32-C3-DevKitM-1
2,PN532 NFC Module V3,NFC/RFID reader module I2C SPI UART,1,$3.50,$3.50,https://www.aliexpress.com/item/1005005889254713.html,Set switches to I2C mode before use
3,SG90 Micro Servo,9g servo for lock mechanism,1,$1.20,$1.20,https://www.aliexpress.com/w/wholesale-sg90-servo.html,Search: SG90 9g micro servo
4,TP4056 Module with Protection,LiPo charger module with DW01A protection,1,$0.80,$0.80,https://www.aliexpress.com/w/wholesale-tp4056-module-protection.html,Get the one WITH protection circuit (2 chips on back)
5,1S LiPo Battery 3.7V 500mAh,Rechargeable battery,1,$2.50,$2.50,https://www.aliexpress.com/w/wholesale-lipo-battery-3.7v-500mah.html,Any 500mAh-1000mAh 1S will work
6,JST-PH 2-pin Connector Pair,Battery connector male and female,1,$0.50,$0.50,https://www.aliexpress.com/w/wholesale-jst-ph-2pin-connector.html,Buy a pack of 10 for spare
7,Slide Switch SPDT,Power on/off switch,1,$0.30,$0.30,https://www.aliexpress.com/w/wholesale-slide-switch-spdt.html,Search: SS12D00 slide switch
8,Green LED 3mm,Power indicator,1,$0.05,$0.05,https://www.aliexpress.com/w/wholesale-3mm-led-green.html,Buy a pack of 100 for spare
9,Red LED 3mm,Lock status indicator,1,$0.05,$0.05,https://www.aliexpress.com/w/wholesale-3mm-led-red.html,Buy a pack of 100 for spare
10,330 Ohm Resistor 0805,LED current limiter,2,$0.02,$0.04,https://www.aliexpress.com/w/wholesale-330-ohm-resistor-0805.html,Buy a pack of 100
11,2.54mm Pin Headers,PCB connectors for all modules,1,$0.80,$0.80,https://www.aliexpress.com/w/wholesale-2.54mm-pin-header.html,Buy a 40-pin strip and snap to size
12,NFC Card or Key Fob,Tag to unlock the drawer,2,$0.50,$1.00,https://www.aliexpress.com/w/wholesale-nfc-card-13.56mhz.html,Search: 13.56MHz MIFARE Classic 1K
,,,,,,, 
,,,,TOTAL,,$15.74,
