#,Part,Description,Quantity,Unit Price (USD),Total (USD),AliExpress Link,Notes
1,ESP32-C3-DevKitM-1,Main microcontroller with WiFi and Bluetooth,1,$4.50,$4.50,https://www.aliexpress.com/w/wholesale-esp32-c3-devkitm-1.html,
2,PN532 NFC Module V3,NFC/RFID reader module I2C SPI UART,1,$3.50,$3.50,https://www.aliexpress.com/item/1005005889254713.html,Set switches to I2C mode before use
3,SG90 Micro Servo,9g servo for lock mechanism,1,$1.20,$1.20,https://www.aliexpress.com/w/wholesale-sg90-servo.html,
4,TP4056 Module with Protection,LiPo charger module with DW01A protection,1,$0.80,$0.80,https://www.aliexpress.com/w/wholesale-tp4056-module-protection.html,Get the one WITH protection circuit (2 chips on back)
5,1S LiPo Battery 3.7V 500mAh,Rechargeable battery,1,$2.50,$2.50,https://www.aliexpress.com/w/wholesale-lipo-battery-3.7v-500mah.html,Any 500mAh-1000mAh 1S will work
6,JST-PH 2-pin Connector Pair,Battery connector male and female,1,$0.50,$0.50,https://www.aliexpress.com/w/wholesale-jst-ph-2pin-connector.html,
7,Slide Switch SPDT,Power on/off switch,1,$0.30,$0.30,https://www.aliexpress.com/w/wholesale-slide-switch-spdt.html,
8,Green LED 3mm,Power indicator,1,$0.05,$0.05,https://www.aliexpress.com/w/wholesale-3mm-led-green.html,
9,Red LED 3mm,Lock status indicator,1,$0.05,$0.05,https://www.aliexpress.com/w/wholesale-3mm-led-red.html,
10,330 Ohm Resistor 0805,LED current limiter,2,$0.02,$0.04,https://www.aliexpress.com/w/wholesale-330-ohm-resistor-0805.html,
11,2.54mm Pin Headers,PCB connectors for all modules,1,$0.80,$0.80,https://www.aliexpress.com/w/wholesale-2.54mm-pin-header.html,
13,ahdesive strips,foam adhesive binds to wood,1 roll,$1.50,$1.50,https://www.aliexpress.com/item/1005009972190961.html?spm=a2g0o.productlist.main.9.2246FvpCFvpCFC&algo_pvid=82467876-51b7-47ce-a3f2-ccfa1d7bb285&algo_exp_id=82467876-51b7-47ce-a3f2-ccfa1d7bb285-8&pdp_ext_f=%7B%22order%22%3A%2215768%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.96%210.99%21%21%2117.33%218.76%21%402103890117801687720468231e0436%2112000050729859573%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325743&curPageLogUid=b9jRBYX3lT8E&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009972190961%7C_p_origin_prod%3A,
,,,,,,, 
,,,,TOTAL,$17,,
